episode,reward,steps,success,success_ma25,cumulative_solution_length,planner_used,planner_plan_found,planner_fallback_to_rl,planner_solved,planner_backend,planner_error,rl_loss,rl_batch_seconds,episode_duration_seconds
129,0.0,284,0,0.72,4465,0,1,1,0,metric_ff,,-0.012586221098899841,0.6523689000168815,1.5489212999818847
130,1.0,196,1,0.72,4661,0,1,1,0,metric_ff,,-0.01967204362154007,0.6474936000013258,1.299442799994722
131,1.0,6,1,0.72,4667,1,1,0,1,metric_ff,,-0.01718701235949993,0.6298979000130203,0.7897234000265598
132,1.0,59,1,0.72,4726,0,1,1,0,metric_ff,,-0.018427863717079163,0.5946583999902941,0.9000895000062883
133,0.0,295,0,0.72,4726,0,1,1,0,metric_ff,,-0.02037983201444149,0.6087505999894347,1.5060126000025775
134,0.0,289,0,0.68,4726,0,1,1,0,metric_ff,,-0.02863442711532116,0.5900997999997344,1.478417599981185
135,0.0,282,0,0.64,4726,0,1,1,0,metric_ff,,-0.010652460157871246,0.6494508000032511,1.5499047999910545
136,0.0,292,0,0.6,4726,0,1,1,0,metric_ff,,-0.021393395960330963,0.6782756999891717,1.670807499991497
137,0.0,276,0,0.56,4726,0,1,1,0,metric_ff,,-0.0090071065351367,0.7355870000028517,1.6757417999906465
138,0.0,282,0,0.56,4726,0,1,1,0,metric_ff,,-0.019602427259087563,0.7139143000240438,1.653285499982303
139,0.0,290,0,0.52,4726,0,1,1,0,metric_ff,,-0.012783423066139221,0.7395392999751493,1.6906870000238996
140,0.0,290,0,0.48,4726,0,1,1,0,metric_ff,,-0.013929803855717182,0.6325537000084296,1.60824689999572
141,0.0,278,0,0.44,4726,0,1,1,0,metric_ff,,-0.0032145436853170395,0.6661662999831606,1.590366400021594
142,0.0,275,0,0.44,4726,0,1,1,0,metric_ff,,-0.005950959399342537,0.6437885999912396,1.5845943999884184
143,0.0,290,0,0.4,4726,0,1,1,0,metric_ff,,-0.025579385459423065,0.7085014000185765,1.7065932000114117
144,0.0,291,0,0.36,4726,0,1,1,0,metric_ff,,-0.024374648928642273,0.7096478999883402,1.78046790001099
145,0.0,292,0,0.32,4726,0,1,1,0,metric_ff,,-1.1940583135583438e-05,0.673007300007157,1.7516360000008717
146,0.0,288,0,0.28,4726,0,1,1,0,metric_ff,,-0.011620837263762951,0.6476242000062484,1.6055609999748413
147,1.0,147,1,0.28,4873,0,1,1,0,metric_ff,,-0.0044627683237195015,0.8487533000006806,1.5717762999993283
148,1.0,7,1,0.28,4880,0,1,1,0,metric_ff,,-0.008447184227406979,0.7697076000040397,1.0365745000017341
149,1.0,43,1,0.32,4923,0,1,1,0,metric_ff,,-0.010853243060410023,0.7585085000027902,1.0731748999969568
150,1.0,272,1,0.32,5195,0,1,1,0,metric_ff,,-0.012536028400063515,0.8376553000125568,1.7837124999787193
151,1.0,6,1,0.36,5201,1,1,0,1,metric_ff,,-0.015807176008820534,0.7265036000171676,0.9449104999948759
152,1.0,33,1,0.36,5234,0,1,1,0,metric_ff,,-0.010877395048737526,0.7416059000242967,1.0077029999811202
153,0.0,286,0,0.36,5234,0,1,1,0,metric_ff,,-0.00029437977354973555,0.6840490000031423,1.641765900014434
154,1.0,25,1,0.4,5259,0,1,1,0,metric_ff,,-0.013968484476208687,0.7600765000097454,1.0419332000019494
155,0.0,294,0,0.36,5259,0,1,1,0,metric_ff,,-0.007485223468393087,0.5835432000167202,1.581341799988877
156,0.0,284,0,0.32,5259,0,1,1,0,metric_ff,,-0.018476856872439384,0.6028837999911048,1.5249511000001803
157,0.0,293,0,0.28,5259,0,1,1,0,metric_ff,,-0.008335626684129238,0.59607210001559,1.532803199981572
158,1.0,5,1,0.32,5264,1,1,0,1,metric_ff,,-0.009793732315301895,0.6238910999963991,0.8321054000116419
159,1.0,85,1,0.36,5349,0,1,1,0,metric_ff,,0.0004875306331086904,0.6064320000004955,1.0181580999924336
160,1.0,6,1,0.4,5355,1,1,0,1,metric_ff,,-0.007127218414098024,0.6464638000179548,0.84888229999342
161,1.0,5,1,0.44,5360,1,1,0,1,metric_ff,,-0.005899056792259216,0.5881835000182036,0.7835458999907132
162,1.0,228,1,0.48,5588,0,1,1,0,metric_ff,,-0.010831563733518124,0.5963999000086915,1.4092953000217676
163,1.0,5,1,0.52,5593,1,1,0,1,metric_ff,,-0.0010105641558766365,0.6238046000071336,0.901202299981378
164,1.0,46,1,0.56,5639,0,1,1,0,metric_ff,,-0.01297408901154995,0.620524199999636,0.9322146000049543
165,0.0,280,0,0.56,5639,0,1,1,0,metric_ff,,-0.0146237937733531,0.5809050000098068,1.5132366999750957
166,1.0,35,1,0.6,5674,0,1,1,0,metric_ff,,-0.004284548107534647,0.6367734000086784,0.9165929000009783
167,0.0,296,0,0.6,5674,0,1,1,0,metric_ff,,-0.0026956982910633087,0.6017464000033215,1.5502460000279825
168,0.0,280,0,0.6,5674,0,1,1,0,metric_ff,,-0.003148420946672559,0.6611272000009194,1.5828003000060562
169,1.0,50,1,0.64,5724,0,1,1,0,metric_ff,,0.0007216335507109761,0.585009300004458,0.9129353000025731
170,1.0,154,1,0.68,5878,0,1,1,0,metric_ff,,-0.02886364609003067,0.6031146000023,1.2092602000047918
171,0.0,291,0,0.68,5878,0,1,1,0,metric_ff,,-0.025449471548199654,0.5926389999804087,1.537814300012542
172,0.0,279,0,0.64,5878,0,1,1,0,metric_ff,,-0.018851090222597122,0.6215653999825008,1.5685451999888755
173,1.0,64,1,0.64,5942,0,1,1,0,metric_ff,,-0.014164309948682785,0.6331995999789797,1.010357399994973
174,0.0,294,0,0.6,5942,0,1,1,0,metric_ff,,-0.003378025721758604,0.6289629000239074,1.5743680000014137
175,1.0,250,1,0.6,6192,0,1,1,0,metric_ff,,-0.010311387479305267,0.6014972999983002,1.48572170000989
176,0.0,293,0,0.56,6192,0,1,1,0,metric_ff,,-0.021174993366003036,0.5971980000031181,1.576397899974836
177,1.0,100,1,0.56,6292,0,1,1,0,metric_ff,,-0.009436769410967827,0.6172090999898501,1.1002270000171848
178,0.0,281,0,0.56,6292,0,1,1,0,metric_ff,,-0.023127611726522446,0.599093199998606,1.5546191000030376
179,0.0,289,0,0.52,6292,0,1,1,0,metric_ff,,-0.02351192757487297,0.6330286000156775,1.5942772999987938
180,0.0,307,0,0.52,6292,0,1,1,0,metric_ff,,-0.038302674889564514,0.5886159999936353,1.5717270000022836
181,1.0,227,1,0.56,6519,0,1,1,0,metric_ff,,-0.013847483322024345,0.5992779999796767,1.4170435999985784
182,1.0,173,1,0.6,6692,0,1,1,0,metric_ff,,-0.039831824600696564,0.5890618999837898,1.2765272000106052
183,1.0,16,1,0.6,6708,0,1,1,0,metric_ff,,-0.0248884167522192,0.5761890000139829,0.8401861999882385
184,1.0,6,1,0.6,6714,1,1,0,1,metric_ff,,-0.018643854185938835,0.613900399999693,0.8525977999961469
185,1.0,134,1,0.6,6848,0,1,1,0,metric_ff,,-0.005614832509309053,0.6152107999951113,1.2606818999920506
186,1.0,25,1,0.6,6873,0,1,1,0,metric_ff,,-0.014843020588159561,0.6074155000096653,0.8934216999914497
187,0.0,278,0,0.56,6873,0,1,1,0,metric_ff,,-0.02227635495364666,0.5734939000103623,1.5341587000002619
188,0.0,287,0,0.52,6873,0,1,1,0,metric_ff,,-0.0019186745630577207,0.5860434000205714,1.5465186000219546
189,1.0,187,1,0.52,7060,0,1,1,0,metric_ff,,9.550084359943867e-05,0.614432600006694,1.3376894000102766
190,0.0,295,0,0.52,7060,0,1,1,0,metric_ff,,-0.01112472452223301,0.6110469999839552,1.5925185999949463
191,0.0,278,0,0.48,7060,0,1,1,0,metric_ff,,-0.015530572272837162,0.5730270999774802,1.5367205000075046
192,1.0,141,1,0.52,7201,0,1,1,0,metric_ff,,-0.002809796715155244,0.6224136999808252,1.2422864999971353
193,1.0,168,1,0.56,7369,0,1,1,0,metric_ff,,-0.014970015734434128,0.602204900002107,1.2783046000113245
194,0.0,292,0,0.52,7369,0,1,1,0,metric_ff,,-0.0177968330681324,0.5845311000011861,1.5744501999870408
195,1.0,20,1,0.52,7389,0,1,1,0,metric_ff,,-0.02215234749019146,0.609494000003906,0.902863499999512
196,0.0,288,0,0.52,7389,0,1,1,0,metric_ff,,-0.021860884502530098,0.5777593000093475,1.6329061000142246
197,0.0,278,0,0.52,7389,0,1,1,0,metric_ff,,-0.021987831220030785,0.6005559999903198,1.5784263999958057
198,1.0,13,1,0.52,7402,0,1,1,0,metric_ff,,-0.04848093166947365,0.6255827999848407,0.8965987999981735
199,0.0,272,0,0.52,7402,0,1,1,0,metric_ff,,-0.01669149287045002,0.5827746000140905,1.552402399975108
200,0.0,278,0,0.48,7402,0,1,1,0,metric_ff,,-0.0066267941147089005,0.6096726999967359,1.5880268000182696
201,0.0,299,0,0.48,7402,0,1,1,0,metric_ff,,-0.015516133978962898,0.5699856000137515,1.571154099976411
202,1.0,6,1,0.48,7408,1,1,0,1,metric_ff,,-0.009850815869867802,0.6194296999892686,0.8843190000043251
203,0.0,275,0,0.48,7408,0,1,1,0,metric_ff,,-0.006958078593015671,0.605772100010654,1.5966982999816537
204,0.0,295,0,0.48,7408,0,1,1,0,metric_ff,,-0.0069717904552817345,0.5843421000172384,1.6010881999973208
205,1.0,74,1,0.52,7482,0,1,1,0,metric_ff,,-0.0035256589762866497,0.6110819000168703,1.0488992999889888
206,1.0,5,1,0.52,7487,1,1,0,1,metric_ff,,-0.021290086209774017,0.6121930000081193,0.868103799992241
